target_time_utc,target_time_local,power_farm_plan,power_t1_plan,power_t2_plan,p10_plan,p90_plan,plan_revision,plan_run_id,power_farm_bid,bid_run_id,plan_mw
2026-02-01 17:00:00+00:00,2026-02-01T22:00:00+05:00,0.1744,0.1699,0.1751,0.0031,0.6888,1,20260201T0000-746a3f,,,0.872
2026-02-01 18:00:00+00:00,2026-02-01T23:00:00+05:00,0.153,0.1521,0.1364,0.0,0.6637,1,20260201T0000-746a3f,,,0.765
2026-02-01 19:00:00+00:00,2026-02-02T00:00:00+05:00,0.2245,0.2581,0.2133,0.0231,0.741,0,20260202T0000-d09005,0.1563,20260201T0000-746a3f,1.122
2026-02-01 20:00:00+00:00,2026-02-02T01:00:00+05:00,0.2889,0.3057,0.2795,0.0414,0.7851,0,20260202T0000-d09005,0.1743,20260201T0000-746a3f,1.444
2026-02-01 21:00:00+00:00,2026-02-02T02:00:00+05:00,0.2806,0.297,0.2654,0.0401,0.7768,0,20260202T0000-d09005,0.1685,20260201T0000-746a3f,1.403
2026-02-01 22:00:00+00:00,2026-02-02T03:00:00+05:00,0.2496,0.2609,0.2364,0.0245,0.7681,0,20260202T0000-d09005,0.2139,20260201T0000-746a3f,1.248
2026-02-01 23:00:00+00:00,2026-02-02T04:00:00+05:00,0.3173,0.3523,0.3153,0.026,0.8791,0,20260202T0000-d09005,0.265,20260201T0000-746a3f,1.586
2026-02-02 00:00:00+00:00,2026-02-02T05:00:00+05:00,0.3665,0.3965,0.3387,0.0512,0.9427,0,20260202T0000-d09005,0.298,20260201T0000-746a3f,1.832
2026-02-02 01:00:00+00:00,2026-02-02T06:00:00+05:00,0.3613,0.4041,0.3477,0.0415,0.9228,0,20260202T0000-d09005,0.2945,20260201T0000-746a3f,1.806
2026-02-02 02:00:00+00:00,2026-02-02T07:00:00+05:00,0.3413,0.3421,0.3317,0.0523,0.9014,0,20260202T0000-d09005,0.2984,20260201T0000-746a3f,1.706
2026-02-02 03:00:00+00:00,2026-02-02T08:00:00+05:00,0.4032,0.3992,0.393,0.0442,0.9488,0,20260202T0000-d09005,0.3742,20260201T0000-746a3f,2.016
2026-02-02 04:00:00+00:00,2026-02-02T09:00:00+05:00,0.6108,0.648,0.6032,0.2329,0.9903,0,20260202T0000-d09005,0.5461,20260201T0000-746a3f,3.054
2026-02-02 05:00:00+00:00,2026-02-02T10:00:00+05:00,0.6027,0.5964,0.6192,0.1999,0.996,0,20260202T0000-d09005,0.5463,20260201T0000-746a3f,3.014
2026-02-02 06:00:00+00:00,2026-02-02T11:00:00+05:00,0.6881,0.7229,0.7192,0.3604,0.9698,0,20260202T0000-d09005,0.7325,20260201T0000-746a3f,3.44
2026-02-02 07:00:00+00:00,2026-02-02T12:00:00+05:00,0.8055,0.8501,0.8349,0.4457,0.9866,0,20260202T0000-d09005,0.8321,20260201T0000-746a3f,4.028
2026-02-02 08:00:00+00:00,2026-02-02T13:00:00+05:00,0.8845,0.9097,0.9275,0.5091,0.9975,0,20260202T0000-d09005,0.9504,20260201T0000-746a3f,4.422
2026-02-02 09:00:00+00:00,2026-02-02T14:00:00+05:00,0.9069,0.937,0.9448,0.5703,0.99,1,20260202T0000-d09005,0.9153,20260201T0000-746a3f,4.534
2026-02-02 10:00:00+00:00,2026-02-02T15:00:00+05:00,0.756,0.7463,0.8046,0.4074,0.9656,1,20260202T0000-d09005,0.7302,20260201T0000-746a3f,3.78
2026-02-02 11:00:00+00:00,2026-02-02T16:00:00+05:00,0.6273,0.6623,0.6238,0.3225,0.948,1,20260202T0000-d09005,0.2374,20260201T0000-746a3f,3.136
2026-02-02 12:00:00+00:00,2026-02-02T17:00:00+05:00,0.4904,0.429,0.4647,0.184,0.9331,1,20260202T0000-d09005,0.2351,20260201T0000-746a3f,2.452
2026-02-02 13:00:00+00:00,2026-02-02T18:00:00+05:00,0.2197,0.2045,0.1932,0.0191,0.5496,1,20260202T0000-d09005,0.2209,20260201T0000-746a3f,1.098
2026-02-02 14:00:00+00:00,2026-02-02T19:00:00+05:00,0.0557,0.0518,0.0517,0.0,0.2937,1,20260202T0000-d09005,0.223,20260201T0000-746a3f,0.278
2026-02-02 15:00:00+00:00,2026-02-02T20:00:00+05:00,0.0582,0.0614,0.0563,0.0,0.329,1,20260202T0000-d09005,0.214,20260201T0000-746a3f,0.291
2026-02-02 16:00:00+00:00,2026-02-02T21:00:00+05:00,0.0763,0.0648,0.0732,0.0,0.4253,1,20260202T0000-d09005,0.2192,20260201T0000-746a3f,0.382
2026-02-02 17:00:00+00:00,2026-02-02T22:00:00+05:00,0.0971,0.0749,0.0936,0.0,0.4102,1,20260202T0000-d09005,0.1919,20260201T0000-746a3f,0.486
2026-02-02 18:00:00+00:00,2026-02-02T23:00:00+05:00,0.1186,0.1417,0.1162,0.0,0.4027,1,20260202T0000-d09005,0.1697,20260201T0000-746a3f,0.593
2026-02-02 19:00:00+00:00,2026-02-03T00:00:00+05:00,0.2177,0.2404,0.207,0.0008,0.6565,0,20260203T0000-7e3e84,0.1289,20260202T0000-d09005,1.088
2026-02-02 20:00:00+00:00,2026-02-03T01:00:00+05:00,0.2728,0.2859,0.2535,0.0152,0.8544,0,20260203T0000-7e3e84,0.236,20260202T0000-d09005,1.364
2026-02-02 21:00:00+00:00,2026-02-03T02:00:00+05:00,0.3276,0.3515,0.322,0.0255,0.9033,0,20260203T0000-7e3e84,0.2346,20260202T0000-d09005,1.638
2026-02-02 22:00:00+00:00,2026-02-03T03:00:00+05:00,0.3499,0.3735,0.3627,0.0412,0.9221,0,20260203T0000-7e3e84,0.1519,20260202T0000-d09005,1.749
2026-02-02 23:00:00+00:00,2026-02-03T04:00:00+05:00,0.3543,0.3583,0.36,0.0394,0.9063,0,20260203T0000-7e3e84,0.1129,20260202T0000-d09005,1.772
2026-02-03 00:00:00+00:00,2026-02-03T05:00:00+05:00,0.1175,0.1677,0.1168,0.0,0.6092,0,20260203T0000-7e3e84,0.1504,20260202T0000-d09005,0.587
2026-02-03 01:00:00+00:00,2026-02-03T06:00:00+05:00,0.0176,0.0296,0.0127,0.0,0.1099,0,20260203T0000-7e3e84,0.0107,20260202T0000-d09005,0.088
2026-02-03 02:00:00+00:00,2026-02-03T07:00:00+05:00,0.0334,0.0478,0.0329,0.0,0.3239,0,20260203T0000-7e3e84,0.0392,20260202T0000-d09005,0.167
2026-02-03 03:00:00+00:00,2026-02-03T08:00:00+05:00,0.0309,0.0372,0.0298,0.0,0.1957,0,20260203T0000-7e3e84,0.0238,20260202T0000-d09005,0.154
2026-02-03 04:00:00+00:00,2026-02-03T09:00:00+05:00,0.0209,0.0292,0.0214,0.0,0.2467,0,20260203T0000-7e3e84,0.0179,20260202T0000-d09005,0.104
2026-02-03 05:00:00+00:00,2026-02-03T10:00:00+05:00,0.0173,0.0278,0.0284,0.0,0.2299,0,20260203T0000-7e3e84,0.0118,20260202T0000-d09005,0.086
2026-02-03 06:00:00+00:00,2026-02-03T11:00:00+05:00,0.0663,0.0686,0.0822,0.0,0.5009,0,20260203T0000-7e3e84,0.0302,20260202T0000-d09005,0.332
2026-02-03 07:00:00+00:00,2026-02-03T12:00:00+05:00,0.0563,0.0686,0.0686,0.0,0.4529,0,20260203T0000-7e3e84,0.0332,20260202T0000-d09005,0.282
2026-02-03 08:00:00+00:00,2026-02-03T13:00:00+05:00,0.0396,0.0398,0.032,0.0,0.2973,0,20260203T0000-7e3e84,0.0264,20260202T0000-d09005,0.198
2026-02-03 09:00:00+00:00,2026-02-03T14:00:00+05:00,0.0482,0.0411,0.0372,0.0,0.3411,1,20260203T0000-7e3e84,0.0409,20260202T0000-d09005,0.241
2026-02-03 10:00:00+00:00,2026-02-03T15:00:00+05:00,0.0295,0.0185,0.0247,0.0,0.2296,1,20260203T0000-7e3e84,0.1372,20260202T0000-d09005,0.148
2026-02-03 11:00:00+00:00,2026-02-03T16:00:00+05:00,0.0539,0.0549,0.0689,0.005,0.341,1,20260203T0000-7e3e84,0.1365,20260202T0000-d09005,0.27
2026-02-03 12:00:00+00:00,2026-02-03T17:00:00+05:00,0.1417,0.1551,0.1497,0.0126,0.5913,1,20260203T0000-7e3e84,0.359,20260202T0000-d09005,0.708
2026-02-03 13:00:00+00:00,2026-02-03T18:00:00+05:00,0.1207,0.1347,0.1267,0.0045,0.5294,1,20260203T0000-7e3e84,0.288,20260202T0000-d09005,0.604
2026-02-03 14:00:00+00:00,2026-02-03T19:00:00+05:00,0.3172,0.3235,0.345,0.0155,0.8227,1,20260203T0000-7e3e84,0.2821,20260202T0000-d09005,1.586
2026-02-03 15:00:00+00:00,2026-02-03T20:00:00+05:00,0.3941,0.4109,0.3955,0.0417,0.8727,1,20260203T0000-7e3e84,0.2281,20260202T0000-d09005,1.97
2026-02-03 16:00:00+00:00,2026-02-03T21:00:00+05:00,0.3361,0.327,0.3577,0.0287,0.8552,1,20260203T0000-7e3e84,0.1842,20260202T0000-d09005,1.68
2026-02-03 17:00:00+00:00,2026-02-03T22:00:00+05:00,0.3057,0.3065,0.3025,0.0235,0.8326,1,20260203T0000-7e3e84,0.2422,20260202T0000-d09005,1.529
2026-02-03 18:00:00+00:00,2026-02-03T23:00:00+05:00,0.3377,0.3212,0.3677,0.0175,0.8794,1,20260203T0000-7e3e84,0.2362,20260202T0000-d09005,1.688
2026-02-03 19:00:00+00:00,2026-02-04T00:00:00+05:00,0.3099,0.2981,0.2905,0.0163,0.7972,0,20260204T0000-fd6afd,0.1939,20260203T0000-7e3e84,1.55
2026-02-03 20:00:00+00:00,2026-02-04T01:00:00+05:00,0.3934,0.4067,0.4257,0.0458,0.9028,0,20260204T0000-fd6afd,0.2502,20260203T0000-7e3e84,1.967
2026-02-03 21:00:00+00:00,2026-02-04T02:00:00+05:00,0.3102,0.3207,0.3689,0.0149,0.8657,0,20260204T0000-fd6afd,0.2931,20260203T0000-7e3e84,1.551
2026-02-03 22:00:00+00:00,2026-02-04T03:00:00+05:00,0.2932,0.3014,0.283,0.0128,0.8205,0,20260204T0000-fd6afd,0.3334,20260203T0000-7e3e84,1.466
2026-02-03 23:00:00+00:00,2026-02-04T04:00:00+05:00,0.3029,0.3235,0.3173,0.0364,0.8374,0,20260204T0000-fd6afd,0.4232,20260203T0000-7e3e84,1.514
2026-02-04 00:00:00+00:00,2026-02-04T05:00:00+05:00,0.4213,0.4383,0.4114,0.0547,0.8859,0,20260204T0000-fd6afd,0.2867,20260203T0000-7e3e84,2.106
2026-02-04 01:00:00+00:00,2026-02-04T06:00:00+05:00,0.3323,0.3356,0.3601,0.0526,0.8916,0,20260204T0000-fd6afd,0.255,20260203T0000-7e3e84,1.662
2026-02-04 02:00:00+00:00,2026-02-04T07:00:00+05:00,0.3385,0.3553,0.3516,0.0433,0.8854,0,20260204T0000-fd6afd,0.2762,20260203T0000-7e3e84,1.693
2026-02-04 03:00:00+00:00,2026-02-04T08:00:00+05:00,0.3627,0.3491,0.3735,0.0447,0.8779,0,20260204T0000-fd6afd,0.3671,20260203T0000-7e3e84,1.814
2026-02-04 04:00:00+00:00,2026-02-04T09:00:00+05:00,0.3709,0.3728,0.3576,0.0328,0.8594,0,20260204T0000-fd6afd,0.2333,20260203T0000-7e3e84,1.854
2026-02-04 05:00:00+00:00,2026-02-04T10:00:00+05:00,0.363,0.3574,0.3508,0.0246,0.8549,0,20260204T0000-fd6afd,0.1587,20260203T0000-7e3e84,1.815
2026-02-04 06:00:00+00:00,2026-02-04T11:00:00+05:00,0.2825,0.269,0.2628,0.0493,0.8008,0,20260204T0000-fd6afd,0.2241,20260203T0000-7e3e84,1.412
2026-02-04 07:00:00+00:00,2026-02-04T12:00:00+05:00,0.2529,0.2151,0.2303,0.0336,0.7634,0,20260204T0000-fd6afd,0.1715,20260203T0000-7e3e84,1.264
2026-02-04 08:00:00+00:00,2026-02-04T13:00:00+05:00,0.2596,0.2383,0.2154,0.0322,0.7694,0,20260204T0000-fd6afd,0.1743,20260203T0000-7e3e84,1.298
2026-02-04 09:00:00+00:00,2026-02-04T14:00:00+05:00,0.2382,0.2265,0.2165,0.0294,0.7459,1,20260204T0000-fd6afd,0.1873,20260203T0000-7e3e84,1.191
2026-02-04 10:00:00+00:00,2026-02-04T15:00:00+05:00,0.197,0.19,0.1931,0.0275,0.6137,1,20260204T0000-fd6afd,0.1825,20260203T0000-7e3e84,0.985
2026-02-04 11:00:00+00:00,2026-02-04T16:00:00+05:00,0.2038,0.185,0.1884,0.0258,0.502,1,20260204T0000-fd6afd,0.1831,20260203T0000-7e3e84,1.019
2026-02-04 12:00:00+00:00,2026-02-04T17:00:00+05:00,0.0533,0.0589,0.0467,0.0,0.2682,1,20260204T0000-fd6afd,0.2186,20260203T0000-7e3e84,0.266
2026-02-04 13:00:00+00:00,2026-02-04T18:00:00+05:00,0.0333,0.0223,0.0312,0.0,0.0827,1,20260204T0000-fd6afd,0.1546,20260203T0000-7e3e84,0.166
2026-02-04 14:00:00+00:00,2026-02-04T19:00:00+05:00,0.0709,0.074,0.0701,0.0,0.3106,1,20260204T0000-fd6afd,0.1597,20260203T0000-7e3e84,0.355
2026-02-04 15:00:00+00:00,2026-02-04T20:00:00+05:00,0.2106,0.2359,0.2178,0.0032,0.7605,1,20260204T0000-fd6afd,0.3431,20260203T0000-7e3e84,1.053
2026-02-04 16:00:00+00:00,2026-02-04T21:00:00+05:00,0.3905,0.4102,0.4492,0.0381,0.9452,1,20260204T0000-fd6afd,0.4057,20260203T0000-7e3e84,1.953
2026-02-04 17:00:00+00:00,2026-02-04T22:00:00+05:00,0.4447,0.4931,0.503,0.074,0.9946,1,20260204T0000-fd6afd,0.4662,20260203T0000-7e3e84,2.224
2026-02-04 18:00:00+00:00,2026-02-04T23:00:00+05:00,0.6543,0.6785,0.6208,0.1464,1.0,1,20260204T0000-fd6afd,0.4568,20260203T0000-7e3e84,3.272
2026-02-04 19:00:00+00:00,2026-02-05T00:00:00+05:00,0.7913,0.831,0.7865,0.2296,1.0,0,20260205T0000-fadac5,0.6666,20260204T0000-fd6afd,3.956
2026-02-04 20:00:00+00:00,2026-02-05T01:00:00+05:00,0.8621,0.8494,0.8471,0.2853,0.994,0,20260205T0000-fadac5,0.7136,20260204T0000-fd6afd,4.31
2026-02-04 21:00:00+00:00,2026-02-05T02:00:00+05:00,0.9137,0.9127,0.9035,0.4595,0.9918,0,20260205T0000-fadac5,0.8622,20260204T0000-fd6afd,4.568
2026-02-04 22:00:00+00:00,2026-02-05T03:00:00+05:00,0.9349,0.9308,0.9359,0.6072,0.9961,0,20260205T0000-fadac5,0.8977,20260204T0000-fd6afd,4.674
2026-02-04 23:00:00+00:00,2026-02-05T04:00:00+05:00,0.9721,0.9762,0.9724,0.7395,0.9984,0,20260205T0000-fadac5,0.9548,20260204T0000-fd6afd,4.86
2026-02-05 00:00:00+00:00,2026-02-05T05:00:00+05:00,0.978,0.987,0.9726,0.8478,0.9978,0,20260205T0000-fadac5,0.973,20260204T0000-fd6afd,4.89
2026-02-05 01:00:00+00:00,2026-02-05T06:00:00+05:00,0.9781,0.9875,0.9755,0.9533,0.9957,0,20260205T0000-fadac5,0.9765,20260204T0000-fd6afd,4.89
2026-02-05 02:00:00+00:00,2026-02-05T07:00:00+05:00,0.9799,0.9887,0.9748,0.9765,0.9993,0,20260205T0000-fadac5,0.9788,20260204T0000-fd6afd,4.9
2026-02-05 03:00:00+00:00,2026-02-05T08:00:00+05:00,0.9633,0.9755,0.971,0.929,0.9981,0,20260205T0000-fadac5,0.9612,20260204T0000-fd6afd,4.816
2026-02-05 04:00:00+00:00,2026-02-05T09:00:00+05:00,0.9781,0.9868,0.9736,0.9781,1.0,0,20260205T0000-fadac5,0.9735,20260204T0000-fd6afd,4.89
2026-02-05 05:00:00+00:00,2026-02-05T10:00:00+05:00,0.9816,0.9898,0.973,0.9816,0.9999,0,20260205T0000-fadac5,0.9822,20260204T0000-fd6afd,4.908
2026-02-05 06:00:00+00:00,2026-02-05T11:00:00+05:00,0.9804,0.9905,0.9756,0.8626,0.9999,0,20260205T0000-fadac5,0.9783,20260204T0000-fd6afd,4.902
2026-02-05 07:00:00+00:00,2026-02-05T12:00:00+05:00,0.9794,0.9973,0.9743,0.8668,0.999,0,20260205T0000-fadac5,0.9783,20260204T0000-fd6afd,4.897
2026-02-05 08:00:00+00:00,2026-02-05T13:00:00+05:00,0.9799,0.9983,0.9751,0.8443,0.9984,0,20260205T0000-fadac5,0.979,20260204T0000-fd6afd,4.9
2026-02-05 09:00:00+00:00,2026-02-05T14:00:00+05:00,0.9813,0.998,0.9752,0.7681,1.0,1,20260205T0000-fadac5,0.9782,20260204T0000-fd6afd,4.906
2026-02-05 10:00:00+00:00,2026-02-05T15:00:00+05:00,0.9777,0.9909,0.9766,0.617,1.0,1,20260205T0000-fadac5,0.9469,20260204T0000-fd6afd,4.889
2026-02-05 11:00:00+00:00,2026-02-05T16:00:00+05:00,0.9035,0.9352,0.9734,0.6069,1.0,1,20260205T0000-fadac5,0.9365,20260204T0000-fd6afd,4.518
2026-02-05 12:00:00+00:00,2026-02-05T17:00:00+05:00,0.8473,0.9006,0.8761,0.5439,1.0,1,20260205T0000-fadac5,0.9418,20260204T0000-fd6afd,4.236
2026-02-05 13:00:00+00:00,2026-02-05T18:00:00+05:00,0.7915,0.8527,0.8007,0.3859,1.0,1,20260205T0000-fadac5,0.9272,20260204T0000-fd6afd,3.958
2026-02-05 14:00:00+00:00,2026-02-05T19:00:00+05:00,0.8375,0.8576,0.8246,0.2838,1.0,1,20260205T0000-fadac5,0.8576,20260204T0000-fd6afd,4.188
2026-02-05 15:00:00+00:00,2026-02-05T20:00:00+05:00,0.7285,0.7544,0.7284,0.21,1.0,1,20260205T0000-fadac5,0.6944,20260204T0000-fd6afd,3.642
2026-02-05 16:00:00+00:00,2026-02-05T21:00:00+05:00,0.6366,0.6795,0.6707,0.1692,1.0,1,20260205T0000-fadac5,0.6519,20260204T0000-fd6afd,3.183
2026-02-05 17:00:00+00:00,2026-02-05T22:00:00+05:00,0.4608,0.4455,0.4327,0.0638,0.8972,1,20260205T0000-fadac5,0.6745,20260204T0000-fd6afd,2.304
2026-02-05 18:00:00+00:00,2026-02-05T23:00:00+05:00,0.5154,0.5304,0.5214,0.0886,0.9624,1,20260205T0000-fadac5,0.62,20260204T0000-fd6afd,2.577
2026-02-05 19:00:00+00:00,2026-02-06T00:00:00+05:00,0.3132,0.323,0.3085,0.0296,0.8582,0,20260206T0000-6284c5,0.2967,20260205T0000-fadac5,1.566
2026-02-05 20:00:00+00:00,2026-02-06T01:00:00+05:00,0.254,0.2571,0.2568,0.0054,0.7957,0,20260206T0000-6284c5,0.2614,20260205T0000-fadac5,1.27
2026-02-05 21:00:00+00:00,2026-02-06T02:00:00+05:00,0.231,0.2382,0.2191,0.0006,0.7189,0,20260206T0000-6284c5,0.2363,20260205T0000-fadac5,1.155
2026-02-05 22:00:00+00:00,2026-02-06T03:00:00+05:00,0.1155,0.1378,0.1218,0.0,0.5702,0,20260206T0000-6284c5,0.1663,20260205T0000-fadac5,0.578
2026-02-05 23:00:00+00:00,2026-02-06T04:00:00+05:00,0.0524,0.0517,0.0425,0.0,0.3646,0,20260206T0000-6284c5,0.0681,20260205T0000-fadac5,0.262
2026-02-06 00:00:00+00:00,2026-02-06T05:00:00+05:00,0.0249,0.0383,0.023,0.0,0.1352,0,20260206T0000-6284c5,0.0235,20260205T0000-fadac5,0.124
2026-02-06 01:00:00+00:00,2026-02-06T06:00:00+05:00,0.012,0.0159,0.0154,0.0,0.1897,0,20260206T0000-6284c5,0.3908,20260205T0000-fadac5,0.06
2026-02-06 02:00:00+00:00,2026-02-06T07:00:00+05:00,0.2079,0.2367,0.2193,0.0,0.6991,0,20260206T0000-6284c5,0.1813,20260205T0000-fadac5,1.04
2026-02-06 03:00:00+00:00,2026-02-06T08:00:00+05:00,0.3398,0.3526,0.3364,0.0092,0.8214,0,20260206T0000-6284c5,0.1372,20260205T0000-fadac5,1.699
2026-02-06 04:00:00+00:00,2026-02-06T09:00:00+05:00,0.1831,0.1886,0.1875,0.0,0.6551,0,20260206T0000-6284c5,0.4018,20260205T0000-fadac5,0.916
2026-02-06 05:00:00+00:00,2026-02-06T10:00:00+05:00,0.0336,0.0244,0.0388,0.0,0.3201,0,20260206T0000-6284c5,0.7133,20260205T0000-fadac5,0.168
2026-02-06 06:00:00+00:00,2026-02-06T11:00:00+05:00,0.2827,0.2991,0.2774,0.1431,0.7731,0,20260206T0000-6284c5,0.8844,20260205T0000-fadac5,1.414
2026-02-06 07:00:00+00:00,2026-02-06T12:00:00+05:00,0.7643,0.7907,0.744,0.5663,1.0,0,20260206T0000-6284c5,0.9754,20260205T0000-fadac5,3.822
2026-02-06 08:00:00+00:00,2026-02-06T13:00:00+05:00,0.8869,0.9176,0.8486,0.6121,1.0,0,20260206T0000-6284c5,0.9756,20260205T0000-fadac5,4.434
2026-02-06 09:00:00+00:00,2026-02-06T14:00:00+05:00,0.9678,0.9716,0.9516,0.7944,0.9938,1,20260206T0000-6284c5,0.9756,20260205T0000-fadac5,4.839
2026-02-06 10:00:00+00:00,2026-02-06T15:00:00+05:00,0.9813,0.9915,0.974,0.9137,0.9985,1,20260206T0000-6284c5,0.98,20260205T0000-fadac5,4.906
2026-02-06 11:00:00+00:00,2026-02-06T16:00:00+05:00,0.9788,0.994,0.9756,0.9191,0.9996,1,20260206T0000-6284c5,0.9743,20260205T0000-fadac5,4.894
2026-02-06 12:00:00+00:00,2026-02-06T17:00:00+05:00,0.9826,0.9948,0.9733,0.8984,0.9989,1,20260206T0000-6284c5,0.9762,20260205T0000-fadac5,4.913
2026-02-06 13:00:00+00:00,2026-02-06T18:00:00+05:00,0.9875,0.989,0.9814,0.9303,0.9998,1,20260206T0000-6284c5,0.9783,20260205T0000-fadac5,4.938
2026-02-06 14:00:00+00:00,2026-02-06T19:00:00+05:00,0.983,0.9959,0.9768,0.8931,1.0,1,20260206T0000-6284c5,0.9236,20260205T0000-fadac5,4.915
2026-02-06 15:00:00+00:00,2026-02-06T20:00:00+05:00,0.9881,0.9976,0.98,0.8333,1.0,1,20260206T0000-6284c5,0.8437,20260205T0000-fadac5,4.94
2026-02-06 16:00:00+00:00,2026-02-06T21:00:00+05:00,0.9882,0.9962,0.9808,0.8265,0.9993,1,20260206T0000-6284c5,0.7129,20260205T0000-fadac5,4.941
2026-02-06 17:00:00+00:00,2026-02-06T22:00:00+05:00,0.9645,0.9929,0.9657,0.6613,0.9963,1,20260206T0000-6284c5,0.7094,20260205T0000-fadac5,4.822
2026-02-06 18:00:00+00:00,2026-02-06T23:00:00+05:00,0.5814,0.5806,0.5842,0.3067,0.9462,1,20260206T0000-6284c5,0.7273,20260205T0000-fadac5,2.907
2026-02-06 19:00:00+00:00,2026-02-07T00:00:00+05:00,0.386,0.4043,0.3973,0.0776,0.8677,0,20260207T0000-4a3ea2,0.8206,20260206T0000-6284c5,1.93
2026-02-06 20:00:00+00:00,2026-02-07T01:00:00+05:00,0.3126,0.3269,0.2996,0.0534,0.7932,0,20260207T0000-4a3ea2,0.7993,20260206T0000-6284c5,1.563
2026-02-06 21:00:00+00:00,2026-02-07T02:00:00+05:00,0.2959,0.3131,0.3197,0.0299,0.8292,0,20260207T0000-4a3ea2,0.6341,20260206T0000-6284c5,1.48
2026-02-06 22:00:00+00:00,2026-02-07T03:00:00+05:00,0.2639,0.2741,0.2899,0.0164,0.8141,0,20260207T0000-4a3ea2,0.4651,20260206T0000-6284c5,1.32
2026-02-06 23:00:00+00:00,2026-02-07T04:00:00+05:00,0.2639,0.2739,0.2889,0.009,0.7859,0,20260207T0000-4a3ea2,0.4057,20260206T0000-6284c5,1.32
2026-02-07 00:00:00+00:00,2026-02-07T05:00:00+05:00,0.0887,0.11,0.0968,0.0047,0.3607,0,20260207T0000-4a3ea2,0.18,20260206T0000-6284c5,0.444
2026-02-07 01:00:00+00:00,2026-02-07T06:00:00+05:00,0.0231,0.025,0.0246,0.0,0.183,0,20260207T0000-4a3ea2,0.0857,20260206T0000-6284c5,0.115
